pca_code,pca_iden,pca_labe,updated_at
1,ATM,ATM CHANNEL,2024-08-07 07:05:09.695
2,BRANCH,BRANCH CHANNEL,2024-08-07 07:05:09.695
3,INTERNET,INTERNET CHANNEL,2024-08-07 07:05:09.695
4,CALL,CALL CENTER CHANNEL,2024-08-07 07:05:09.695
5,POS,POS CHANNEL,2024-08-07 07:05:09.695
6,VISA,VISA CHANNEL,2024-08-07 07:05:09.695
7,MASTERCARD,MASTERCARD CHANNEL,2024-08-07 07:05:09.695
8,AMEX,AMEX CHANNEL,2024-08-07 07:05:09.695
9,NATIONAL,NATIONAL CHANNEL,2024-08-07 07:05:09.695
10,UPI,Unionpay Channel,2024-08-07 07:05:09.695
401,payement,payement,2024-08-07 07:05:09.695
