orgkey,cif_id
01562055,4568821
01911512,7235296
02944296,1406504
00038863,6218579
01651971,1255130
68384006,8980703
01786441,1498614
00004458,9370940
40510833,8767566
19898447,9286944
01901393,3186116
00033937,5646672
01028393,2287753
00004434,1290799
01901406,5601256
00004442,5919852
33297804,2830344
00520371,1598748
00090623,7537080
22133142,3727146
01084371,6814583
90504419,5828268
01516157,2622447
02906784,4157875
15483718,8212211
01592493,3263104
19749297,3744151
01266590,4269310
02063811,5676264
01001079,6465924
46253427,5924902
09092002,6576494
00134245,3986994
01911516,9997823
00086423,7996075
01082803,5576304
00185654,3092463
23114400,5142567
00004448,3709876
01911511,2129887
30091981,5063941
09557301,4781798
52291857,8778682
01901407,6192226
28893337,1372327
00587212,7445925
00004447,5334058
01014498,9450331
01700535,7340765
30090144,1075920
00061514,9910969
66368828,7426436
01586586,8636016
99520992,4211643
39939293,5509870
00905776,7872351
16155515,7227326
01847463,1550667
00891649,3781309
00004454,9101051
29977110,3732980
00004449,8874285
00545118,8221535
09128392,1189719
01116404,5461679
00082152,2158354
00058395,1337370
01566002,2035752
02169468,1568693
00004426,6566454
00580783,4269492
01731860,6686056
01911519,6852316
00004457,9681773
00036463,5022872
02275983,3257367
48318099,2266684
00004455,8360275
00012403,5047780
01786442,6021714
00494090,4071562
08272460,1805667
15189814,9898224
09403211,8098419
01006372,9084977
24249553,8507903
42240201,5063780
00004446,3756805
00771966,5644007
01786443,1842225
57501498,3169101
00264434,1138256
00000865,9444528
B1499113,3194194
01009724,5013653
19041342,5738561
01901408,7387806
00004439,9966100
01901405,1242207
01660876,1243944
00004445,7793973
01166828,8496642
00816195,8726228
04006533,9864427
01007045,6943934
01901391,6782843
36283925,8738953
09396490,4263447
00960980,9611726
22133473,5604950
39227100,3348092
52273477,7366525
02103112,3286748
00004460,2990042
00004452,8246037
00004456,9749078
00518347,6450861
01131729,8257521
47430440,6665024
22132679,9678391
00004453,4016980
00625845,8690282
32157797,9334212
30102616,3694466
00520784,7265178
